id,n
place-chmnl,32140
place-masta,43877
place-rcmnl,39485
place-smmnl,77547
place-qnctr,205269
place-lech,49129
place-bbsta,107780
place-cntsq,104632
place-knncl,32861
place-coecl,45804
place-aport,152224
place-astao,18702
place-welln,178243
place-symcl,10580
place-nqncy,220956
place-dwnxg,57644
place-sstat,212208
place-crtst,6211
place-mvbcl,280540
place-ogmnl,223999
place-boyls,15497
place-state,28495
place-forhl,332178
place-jaksn,113093
place-armnl,17025
place-chncl,18387
place-qamnl,149195
place-haecl,176941
place-portr,92365
place-sull,193944
place-hymnl,28159
place-prmnl,12783
place-rbmnl,102365
place-aqucl,12868
place-orhte,102576
place-tumnl,32400
place-brdwy,69606
place-sbmnl,55414
place-pktrm,41807
place-alfcl,222736
place-wimnl,61432
place-brntn,236013
place-rugg,87730
place-gover,17971
place-asmnl,270774
place-jfk,80857
place-bmmnl,100817
place-ccmnl,29117
place-davis,157394
place-wtcst,2913
place-grnst,45250
place-kencl,38507
place-andrw,117622
place-mlmnl,274314
place-river,32336
place-fldcr,137743
place-harsq,117673
place-spmnl,1869
place-bomnl,2853
place-north,152641
place-sdmnl,9908
place-wondl,227414
place-shmnl,52051
