id,n,lat,log,name
place-chmnl,347151,42.361166,-71.070628,Charles/MGH
place-masta,163265,42.341512,-71.083423,Massachusetts Avenue
place-rcmnl,88797,42.331397,-71.095451,Roxbury Crossing
place-smmnl,20400,42.293126,-71.065738,Shawmut
place-qnctr,78592,42.251809,-71.005409,Quincy Center
place-lech,190592,42.370772,-71.076536,Lechmere
place-bbsta,610633,42.347350,-71.075727,Back Bay
place-cntsq,450647,42.365486,-71.103802,Central
place-knncl,743931,42.362491,-71.086177,Kendall/MIT
place-coecl,492388,42.349974,-71.077447,Copley
place-aport,119687,42.374262,-71.030395,Airport
place-astao,105344,42.392811,-71.077257,Assembly
place-welln,96993,42.402370,-71.077082,Wellington
place-symcl,44865,42.342687,-71.085056,Symphony
place-nqncy,109033,42.275275,-71.029583,North Quincy
place-dwnxg,1140514,42.355518,-71.060225,Downtown Crossing
place-sstat,953805,42.352271,-71.055242,South Station
place-mvbcl,151908,42.369119,-71.039530,Maverick
place-ogmnl,61284,42.436680,-71.071097,Oak Grove
place-boyls,185551,42.353020,-71.064590,Boylston
place-state,621493,42.358978,-71.057598,State Street
place-forhl,143654,42.300523,-71.113686,Forest Hills
place-jaksn,86038,42.323132,-71.099592,Jackson Square
place-armnl,299834,42.351902,-71.070893,Arlington
place-chncl,196523,42.352547,-71.062752,Chinatown
place-qamnl,49634,42.233391,-71.007153,Quincy Adams
place-haecl,278711,42.363021,-71.058290,Haymarket
place-portr,125036,42.388400,-71.119149,Porter
place-sull,160144,42.383975,-71.076994,Sullivan Square
place-hymnl,264037,42.347888,-71.087903,Hynes Convention Center
place-prmnl,130076,42.345570,-71.081696,Prudential
place-rbmnl,36109,42.407843,-70.992533,Revere Beach
place-aqucl,205979,42.359784,-71.051652,Aquarium
place-orhte,46079,42.386867,-71.004736,Orient Heights
place-tumnl,180630,42.349662,-71.063917,Tufts Medical Center
place-brdwy,176041,42.342622,-71.056967,Broadway
place-sbmnl,50183,42.317062,-71.104248,Stony Brook
place-pktrm,728846,42.356395,-71.062424,Park Street
place-alfcl,221931,42.395428,-71.142483,Alewife
place-wimnl,27637,42.379640,-71.022865,Wood Island
place-brntn,53587,42.207854,-71.001138,Braintree
place-rugg,250536,42.336377,-71.088961,Ruggles
place-gover,329678,42.359705,-71.059215,Government Center
place-asmnl,98518,42.284652,-71.064489,Ashmont
place-jfk,180199,42.320685,-71.052391,JFK/UMass
place-bmmnl,28867,42.397542,-70.992319,Beachmont
place-ccmnl,100691,42.373622,-71.069533,Community College
place-davis,181759,42.396740,-71.121815,Davis
place-grnst,45605,42.310525,-71.107414,Green Street
place-kencl,229183,42.348949,-71.095169,Kenmore
place-andrw,104031,42.330154,-71.057655,Andrew
place-mlmnl,106278,42.426632,-71.074110,Malden Center
place-river,45545,42.337059,-71.251742,Riverside
place-fldcr,60011,42.300093,-71.061667,Fields Corner
place-harsq,562058,42.373362,-71.118956,Harvard
place-spmnl,32982,42.366664,-71.067666,Science Park
place-bomnl,66753,42.361365,-71.062037,Bowdoin
place-north,406038,42.365577,-71.061290,North Station
place-sdmnl,6964,42.390501,-70.997123,Suffolk Downs
place-wondl,62371,42.413420,-70.991648,Wonderland
place-shmnl,25782,42.311290,-71.053331,Savin Hill
